date,startup,vertical,subvertical,city,Investor,Type,amount,year,month,quarter
2017-09-05,shubh loans,consumer internet,online lending platform,bangalore,sri capital beenext pravega ventures,private equity,13.35Cr,2017,9,3
2017-09-05,nest education,technology,edutech platform,gurgaon,michael and susan dell foundation anand mahindra,seed funding,5.34Cr,2017,9,3
2017-09-06,lendingkart,consumer internet,online lending platform,ahmedabad,bertelsmann india mayfield capital saama capital darrin capital,private equity,95.675Cr,2017,9,3
2017-09-06,gofro,consumer internet,online travel booking platform,new delhi,his co ltd makemytrip,private equity,89.0Cr,2017,9,3
2017-09-06,oncostem,healthcare,medical diagnostic solutions,bangalore,sequoia capital india,private equity,53.4Cr,2017,9,3
2017-09-06,power2sme,ecommerce,buying club for small businesses,gurgaon,international finance corporation (ifc) inventus capital accel partners kalaari capital and nandan nilekani,private equity,231.4Cr,2017,9,3
2017-09-07,credit vidya,consumer internet,online credit scoring platform,mumbai,matrix partners india india quotient,private equity,44.5Cr,2017,9,3
2017-09-07,tails life,consumer internet,pet care portal & mobile app,bangalore,v balakrishnan,private equity,0.0Cr,2017,9,3
2017-09-07,oyorooms,consumer internet,branded budget hotels marketplace,gurgaon,softbank group,private equity,2225.0Cr,2017,9,3
2017-09-07,earlysalary,consumer internet,online unsecured lending platform,pune,ifmr capital,debt funding,6.942Cr,2017,9,3
2017-09-07,mamaearth,ecommerce,online babycare products marketplace,gurgaon,fireside ventures,seed funding,0.0Cr,2017,9,3
2017-09-07,seniority,ecommerce,ecommerce portal for senior citizens,pune,rpg enterprises,private equity,8.9Cr,2017,9,3
2017-09-08,aye finance,consumer internet,micro lending platform,new delhi,triodos investment management,debt funding,61.41Cr,2017,9,3
2017-09-08,farmizen,technology,agre-tech mobile app,bangalore,venture highway alok mittal mohit agarwal anuj gupta,seed funding,0.0Cr,2017,9,3
2017-09-11,ecom express,logistics,logistics solutions provider,new delhi,warburg pincus,private equity,267.0Cr,2017,9,3
2017-09-11,call health,consumer internet,healthcare services aggregator,hyderabad,sachin tendulkar pv sindhu pullela gopichand,private equity,55.18Cr,2017,9,3
2017-09-12,sattviko,ecommerce,health food etailer,new delhi,raman roy arvind uppal sonu bhasin g ravishankar,seed funding,0.0Cr,2017,9,3
2017-09-12,3hcare,consumer internet,healthcare services portal,new delhi,un disclosed investors,seed funding,0.89Cr,2017,9,3
2017-09-12,tonbo imaging,technology,imaging technology for armed forces,bangalore,wrv capital qualcomm ventures edelweiss private equity artiman ventures,private equity,151.3Cr,2017,9,3
